epoch,loss,train classification accuracy,Classified as target,Average similarity with target,Average similarity with correct caption,test_loss,test classification accuracy,Test-Classified as target,Test-Average similarity with target,Test-Average similarity with correct caption,norm v
149,0.205524231,0.95984375,1.2,0.23265119,0.319758301,,,,,,
150,0.205550081,0.95890625,1.46,0.23201767,0.319261333,0.346270978,0.96875,0,0.22969948,0.320410498,1.9298718
151,0.205514844,0.96125,1.54,0.23288126,0.319422818,,,,,,
152,0.205536044,0.960625,1.14,0.23236158,0.319521619,,,,,,
153,0.205525213,0.96078125,1.5,0.23262717,0.319225897,,,,,,
154,0.205516323,0.95671875,1.46,0.23284502,0.319505977,,,,,,
155,0.205524587,0.9596875,1.54,0.2326426,0.319550352,,,,,,
156,0.205505087,0.95546875,1.54,0.23312035,0.31926551,,,,,,
157,0.205524653,0.96109375,1.22,0.2326408,0.31948651,,,,,,
158,0.20551689,0.95484375,1.06,0.23283118,0.319432986,,,,,,
159,0.205512933,0.9578125,1.2,0.23292805,0.319745578,,,,,,
160,0.205529326,0.95984375,1.08,0.23252635,0.319109421,,,,,,
161,0.205517736,0.95828125,1.24,0.23281038,0.319664987,,,,,,
162,0.205507689,0.9596875,1.34,0.2330566,0.319966573,,,,,,
163,0.205506854,0.95875,1.08,0.23307699,0.319834148,,,,,,
164,0.205526351,0.9596875,1.4,0.23259918,0.319506743,,,,,,
165,0.20550461,0.95953125,1.46,0.23313211,0.319595425,,,,,,
166,0.205512869,0.96015625,1.16,0.23292969,0.31978808,,,,,,
167,0.205503786,0.95515625,1.34,0.23315227,0.319758483,,,,,,
168,0.205497207,0.96078125,1.7,0.2333136,0.319485845,,,,,,
169,0.205497921,0.96125,1.54,0.23329607,0.319698527,,,,,,
170,0.205506758,0.9553125,1.36,0.23307943,0.319562029,,,,,,
171,0.205502439,0.9571875,1.26,0.23318537,0.319275683,,,,,,
172,0.205495066,0.9546875,1.36,0.23336597,0.319230449,,,,,,
173,0.205503101,0.96078125,1.02,0.23316906,0.319730678,,,,,,
174,0.205499938,0.95671875,1.28,0.23324668,0.319599072,,,,,,
175,0.205494554,0.9584375,1.26,0.2333785,0.319789487,0.346267045,0.9609375,0.015625,0.23147193,0.319832429,2.1458802
176,0.205485226,0.95828125,1.38,0.23360722,0.319620855,,,,,,
177,0.205496426,0.958125,1.18,0.23333277,0.319278366,,,,,,
178,0.205497985,0.95671875,1.24,0.23329453,0.319713401,,,,,,
179,0.205482697,0.95015625,1.06,0.23366922,0.319449435,,,,,,
180,0.205479057,0.960625,1.48,0.23375836,0.319859604,,,,,,
181,0.20548944,0.9559375,1.48,0.23350394,0.319628758,,,,,,
182,0.205484665,0.95765625,1.52,0.2336209,0.319814086,,,,,,
183,0.205481853,0.95765625,1.16,0.23368986,0.319918445,,,,,,
184,0.205478548,0.95796875,1.36,0.23377089,0.319825187,,,,,,
185,0.205482858,0.954375,1.1,0.23366518,0.319470046,,,,,,
186,0.205475255,0.96390625,1.14,0.23385157,0.319720585,,,,,,
187,0.20548693,0.9565625,1.1,0.23356542,0.319300287,,,,,,
188,0.205478036,0.9565625,1.16,0.23378345,0.319637232,,,,,,
189,0.205480564,0.9521875,1.42,0.23372154,0.319511382,,,,,,
190,0.205469026,0.95609375,1.4,0.23400429,0.319957612,,,,,,
191,0.205464318,0.95453125,1.32,0.23411974,0.319614524,,,,,,
192,0.205470134,0.954375,1.14,0.2339771,0.31923184,,,,,,
193,0.205473786,0.9546875,1.16,0.23388772,0.31943802,,,,,,
194,0.205470532,0.95875,1.06,0.23396738,0.320049491,,,,,,
195,0.205461164,0.9615625,1.38,0.234197,0.31987616,,,,,,
196,0.205463773,0.959375,1.18,0.23413312,0.31976597,,,,,,
197,0.205458859,0.95546875,1.46,0.23425345,0.319619057,,,,,,
198,0.205464122,0.95640625,1.08,0.23412448,0.319802831,,,,,,
199,0.205454066,0.95875,1.3,0.23437093,0.319582124,,,,,,
200,0.205452927,0.956875,1.12,0.23439896,0.319539964,0.345680237,0.9609375,0.01953125,0.23340888,0.319836516,2.34079
201,0.205467843,0.9575,1.16,0.23403329,0.319611651,,,,,,
202,0.205452743,0.9571875,1.3,0.23440336,0.319958338,,,,,,
203,0.205451409,0.9609375,1.4,0.2344361,0.319993401,,,,,,
204,0.205458675,0.95421875,1,0.234258,0.319496194,,,,,,
205,0.205445521,0.95453125,1.3,0.2345804,0.319595123,,,,,,
206,0.205449725,0.95578125,1.62,0.23447731,0.319789182,,,,,,
207,0.205458403,0.9628125,1.3,0.23426473,0.319890246,,,,,,
208,0.205456838,0.9609375,1.22,0.23430304,0.31967626,,,,,,
209,0.205454018,0.94828125,1.48,0.23437206,0.319182262,,,,,,
210,0.205448917,0.9559375,1.4,0.23449726,0.319733548,,,,,,
211,0.205446278,0.9571875,1.24,0.23456183,0.319919657,,,,,,
212,0.205458313,0.95796875,1.02,0.23426683,0.320051388,,,,,,
213,0.205445053,0.9584375,1.38,0.23459184,0.319484259,,,,,,
214,0.205457821,0.955625,1.28,0.23427895,0.319794257,,,,,,
215,0.205449404,0.95640625,1.02,0.2344852,0.319576319,,,,,,
216,0.205453768,0.9540625,1.36,0.23437826,0.319422792,,,,,,
217,0.205461145,0.9590625,1.06,0.23419747,0.31997128,,,,,,
218,0.205449111,0.9534375,1.28,0.23449239,0.319389254,,,,,,
219,0.205457176,0.95640625,1.06,0.23429476,0.319418994,,,,,,
220,0.205440662,0.95578125,1.26,0.2346994,0.319458316,,,,,,
221,0.205441588,0.9528125,1.14,0.23467669,0.319721977,,,,,,
222,0.205452276,0.95140625,1.4,0.23441479,0.319316279,,,,,,
223,0.205446877,0.96015625,1.4,0.23454721,0.319869186,,,,,,
224,0.205429299,0.95171875,1.38,0.23497805,0.319828362,,,,,,
225,0.205443268,0.9546875,1.24,0.23463564,0.319543605,0.34928301,0.97265625,0.01171875,0.23379987,0.320928819,2.5207398
226,0.20545097,0.95421875,1.04,0.23444681,0.319818438,,,,,,
227,0.20542254,0.95203125,1.36,0.23514366,0.319506947,,,,,,
228,0.205453998,0.95921875,0.92,0.23437257,0.320242359,,,,,,
229,0.205433755,0.95546875,1.36,0.23486885,0.319551631,,,,,,
230,0.205436945,0.9546875,1.22,0.23479055,0.319623873,,,,,,
231,0.205436151,0.95578125,1.2,0.23481001,0.319686624,,,,,,
232,0.205426072,0.956875,1.3,0.23505709,0.319739292,,,,,,
233,0.205413677,0.9553125,1.42,0.23536097,0.319799283,,,,,,
234,0.205429707,0.9490625,1.4,0.234968,0.319648701,,,,,,
235,0.205438959,0.95359375,1.28,0.2347413,0.319294205,,,,,,
236,0.205426809,0.95875,1.36,0.23503903,0.319996042,,,,,,
237,0.2054402,0.95390625,1.16,0.2347109,0.319609335,,,,,,
238,0.205422877,0.95765625,1.38,0.23513544,0.319787669,,,,,,
239,0.205427773,0.95609375,1.12,0.23501551,0.319821142,,,,,,
240,0.205423786,0.95296875,1.14,0.23511307,0.31980117,,,,,,
241,0.205414332,0.96015625,1.34,0.23534495,0.319646037,,,,,,
242,0.205408882,0.9571875,1.44,0.23547846,0.319692056,,,,,,
243,0.205422908,0.96140625,0.96,0.23513466,0.32009501,,,,,,
244,0.205407808,0.95078125,1.58,0.23550472,0.319678376,,,,,,
245,0.205401552,0.9590625,1.16,0.23565808,0.319950296,,,,,,
246,0.20539817,0.95859375,1.44,0.23574102,0.320133255,,,,,,
247,0.205421279,0.95234375,1.3,0.23517457,0.319618734,,,,,,
248,0.205403128,0.95625,1.52,0.23561943,0.319754812,,,,,,
249,0.205399303,0.953125,1.2,0.23571329,0.319761513,,,,,,
250,0.205404051,0.95359375,1.28,0.2355968,0.319599701,0.348463953,0.96484375,0.015625,0.23439309,0.319214981,2.6945462
251,0.205403116,0.95609375,1,0.2356197,0.319346177,,,,,,
252,0.205407429,0.9534375,1.38,0.23551401,0.319561437,,,,,,
253,0.205406919,0.95796875,1.48,0.2355265,0.319950769,,,,,,
254,0.205398037,0.954375,1.44,0.23574425,0.319571981,,,,,,
255,0.205392649,0.958125,1.24,0.23587635,0.319887062,,,,,,
256,0.205399013,0.95453125,1.38,0.23572041,0.319922838,,,,,,
257,0.205381734,0.95203125,1.4,0.23614392,0.319969657,,,,,,
258,0.205409264,0.95328125,0.98,0.23546907,0.32013644,,,,,,
259,0.20537852,0.95140625,1.58,0.23622257,0.319434934,,,,,,
260,0.20539006,0.95203125,1.3,0.23593977,0.319917578,,,,,,
261,0.205383483,0.9509375,1.26,0.23610106,0.319442372,,,,,,
262,0.205379867,0.95140625,1.3,0.23618963,0.319620866,,,,,,
263,0.205384648,0.955,1.04,0.23607253,0.319669451,,,,,,
264,0.205380223,0.95,1.12,0.2361809,0.319110819,,,,,,
265,0.20539052,0.9575,1.16,0.23592849,0.320022024,,,,,,
266,0.205375904,0.9490625,1.16,0.23628676,0.319716734,,,,,,
267,0.20539707,0.95515625,1.1,0.23576798,0.319816266,,,,,,
268,0.205381584,0.95359375,1.26,0.23614752,0.319823232,,,,,,
269,0.205367443,0.95015625,1.42,0.23649414,0.319681045,,,,,,
270,0.205365742,0.948125,1.3,0.23653582,0.319640416,,,,,,
271,0.205367065,0.9509375,1.42,0.2365034,0.319489403,,,,,,
272,0.205378516,0.95375,1.08,0.23622273,0.31977995,,,,,,
273,0.205370873,0.95328125,1.04,0.23641008,0.319648801,,,,,,
274,0.205362652,0.95265625,1.36,0.23661159,0.319649975,,,,,,
275,0.205374874,0.949375,1.02,0.236312,0.31921658,0.349863857,0.96484375,0.0078125,0.23393047,0.319760396,2.8688438
276,0.205376247,0.9546875,1.26,0.23627825,0.319319617,,,,,,
277,0.205353201,0.94953125,1.4,0.2368432,0.319561657,,,,,,
278,0.20537129,0.95015625,1.18,0.23639978,0.319676397,,,,,,
279,0.205365266,0.9534375,1.46,0.23654746,0.319810783,,,,,,
280,0.205366398,0.949375,1.08,0.2365197,0.31956511,,,,,,
281,0.205343497,0.95640625,1.66,0.23708107,0.319946061,,,,,,
282,0.205363071,0.94828125,1.22,0.23660128,0.319403877,,,,,,
283,0.205358498,0.95265625,1.28,0.23671347,0.320119675,,,,,,
284,0.205349691,0.95875,1.06,0.23692924,0.319860333,,,,,,
285,0.205350525,0.950625,1.28,0.2369088,0.319661176,,,,,,
286,0.205351625,0.95578125,1.14,0.23688182,0.319746215,,,,,,
287,0.205342101,0.9534375,1.54,0.2371152,0.319451365,,,,,,
288,0.205358323,0.95015625,1.34,0.23671763,0.319487914,,,,,,
289,0.205329074,0.95046875,1.3,0.23743458,0.319630025,,,,,,
290,0.205345855,0.94796875,1.12,0.23702323,0.319480662,,,,,,
291,0.205337058,0.95734375,1.18,0.23723887,0.31960017,,,,,,
292,0.205325807,0.95453125,1.22,0.23751475,0.319369985,,,,,,
293,0.205336937,0.9490625,1,0.23724182,0.319551312,,,,,,
294,0.20532319,0.95203125,1.46,0.23757881,0.319432689,,,,,,
295,0.205324509,0.95515625,1.32,0.23754644,0.319580857,,,,,,
